Round_Number,Position,Points,Goals_Scored,Season
1,18,0,0,2017-18
2,22,0,3,2017-18
3,21,1,5,2017-18
4,24,1,5,2017-18
5,23,2,5,2017-18
6,23,3,5,2017-18
7,23,3,6,2017-18
8,22,4,7,2017-18
9,20,7,10,2017-18
10,20,8,11,2017-18
11,20,9,13,2017-18
12,19,12,14,2017-18
13,19,13,17,2017-18
14,18,16,20,2017-18
15,15,19,22,2017-18
16,12,22,25,2017-18
17,13,22,25,2017-18
18,13,23,26,2017-18
19,14,24,28,2017-18
20,11,27,31,2017-18
21,13,27,33,2017-18
22,13,28,33,2017-18
23,12,31,35,2017-18
24,12,34,37,2017-18
25,10,37,39,2017-18
26,11,37,39,2017-18
27,11,40,41,2017-18
28,9,43,42,2017-18
29,11,43,42,2017-18
30,11,43,42,2017-18
31,10,44,43,2017-18
32,10,47,45,2017-18
33,10,50,50,2017-18
34,10,50,50,2017-18
35,10,50,51,2017-18
36,10,53,53,2017-18
37,11,53,53,2017-18
38,11,54,54,2017-18
39,11,55,55,2017-18
40,11,58,56,2017-18
41,10,61,57,2017-18
42,10,64,58,2017-18
43,10,65,59,2017-18
44,8,68,61,2017-18
45,9,68,61,2017-18
46,9,69,62,2017-18
